TTCNum	ImageFN	Count	Area	Species	LifeHistory
TTC020570	05-03-2019_TTC020570_002.jpg	22	64.566	Ungnadia_speciosa	Tree
TTC020570	05-03-2019_TTC020570_002.jpg	23	81.312	Ungnadia_speciosa	Tree
TTC020570	05-03-2019_TTC020570_002.jpg	24	96.379	Ungnadia_speciosa	Tree
TTC020570	05-03-2019_TTC020570_002.jpg	25	138.358	Ungnadia_speciosa	Tree
TTC020570	05-03-2019_TTC020570_002.jpg	26	0.014	Ungnadia_speciosa	Tree
TTC020570	05-03-2019_TTC020570_002.jpg	27	116.045	Ungnadia_speciosa	Tree
TTC020570	05-03-2019_TTC020570_002.jpg	28	107.474	Ungnadia_speciosa	Tree
TTC020570	05-03-2019_TTC020570_002.jpg	29	50.919	Ungnadia_speciosa	Tree
TTC021093	05-03-2019_TTC021093_001.jpg	1	94.741	Quercus_pungens	Tree
TTC021093	05-03-2019_TTC021093_001.jpg	2	93.513	Quercus_pungens	Tree
TTC021093	05-03-2019_TTC021093_001.jpg	3	69.152	Quercus_pungens	Tree
TTC021093	05-03-2019_TTC021093_001.jpg	4	25.876	Quercus_pungens	Tree
TTC021093	05-03-2019_TTC021093_001.jpg	5	67.255	Quercus_pungens	Tree
TTC021093	05-03-2019_TTC021093_001.jpg	6	68.865	Quercus_pungens	Tree
TTC021093	05-03-2019_TTC021093_001.jpg	7	79.565	Quercus_pungens	Tree
TTC021093	05-03-2019_TTC021093_001.jpg	8	81.353	Quercus_pungens	Tree
TTC021093	05-03-2019_TTC021093_001.jpg	9	54.126	Quercus_pungens	Tree
TTC021093	05-03-2019_TTC021093_001.jpg	10	86.921	Quercus_pungens	Tree
TTC021093	05-03-2019_TTC021093_001.jpg	11	43.959	Quercus_pungens	Tree
TTC021093	05-03-2019_TTC021093_001.jpg	12	98.794	Quercus_pungens	Tree
TTC021093	05-03-2019_TTC021093_001.jpg	13	95.478	Quercus_pungens	Tree
